"Time","x"
8.194502351E2,1.003828659E3
8.204508181E2,1.003820801E3
8.214513901E2,1.003817444E3
8.224519651E2,1.003816528E3
8.234525381E2,1.003817444E3
8.244531151E2,1.003818130E3
8.254536941E2,1.003819885E3
8.264542611E2,1.003822861E3
8.274548461E2,1.003822861E3
8.284554311E2,1.003822861E3
8.294559971E2,1.003822098E3
8.304565691E2,1.003818359E3
8.314571511E2,1.003815689E3
8.324577331E2,1.003814850E3
8.334583061E2,1.003812943E3
8.344588781E2,1.003812943E3
8.354594541E2,1.003813019E3
8.364602291E2,1.003814392E3
8.374606081E2,1.003817978E3
8.384611791E2,1.003822403E3
8.394617541E2,1.003826065E3
8.404623391E2,1.003829575E3
8.414629131E2,1.003831100E3
8.424634911E2,1.003831100E3
8.434640611E2,1.003831100E3
8.444646371E2,1.003832474E3
8.454652121E2,1.003832855E3
8.464657971E2,1.003832855E3
8.474663651E2,1.003832626E3
8.484669481E2,1.003832245E3
8.494675311E2,1.003829803E3
8.504680981E2,1.003829803E3
8.514686791E2,1.003829041E3
8.524692521E2,1.003828506E3
8.534698271E2,1.003824921E3
8.544704071E2,1.003821411E3
8.554709801E2,1.003816681E3
8.564715571E2,1.003813248E3
8.574721321E2,1.003810654E3
8.584727111E2,1.003806763E3
8.594732841E2,1.003806763E3
8.604739301E2,1.003806763E3
8.614744391E2,1.003805313E3
8.624750141E2,1.003804855E3
8.634755901E2,1.003803787E3
8.644761691E2,1.003803329E3
8.654767441E2,1.003802795E3
8.664773231E2,1.003802795E3
8.674778971E2,1.003804016E3
8.684784691E2,1.003804016E3
8.694790461E2,1.003803482E3
8.704796231E2,1.003799820E3
8.714802031E2,1.003799820E3
8.724807781E2,1.003802414E3
8.734813501E2,1.003804703E3
8.744819261E2,1.003812332E3
8.754825061E2,1.003823318E3
8.764830831E2,1.003828201E3
8.774836581E2,1.003829041E3
8.784842331E2,1.003829651E3
8.794848101E2,1.003829651E3
8.804853861E2,1.003828888E3
8.814859621E2,1.003828583E3
8.824865391E2,1.003828583E3
8.834871181E2,1.003829117E3
8.844876931E2,1.003829117E3
8.854882681E2,1.003822937E3
8.864888471E2,1.003818970E3
8.874894221E2,1.003817139E3
8.884899991E2,1.003813324E3
8.894905721E2,1.003810120E3
8.904911521E2,1.003808289E3
8.914921821E2,1.003806229E3
8.924923001E2,1.003799667E3
8.934928831E2,1.003792801E3
8.944934551E2,1.003787537E3
8.954940321E2,1.003782578E3
8.964946071E2,1.003779526E3
8.974951821E2,1.003779144E3
8.984957621E2,1.003777847E3
8.994963381E2,1.003777847E3
9.004969191E2,1.003781891E3
9.014974921E2,1.003782425E3
9.024980711E2,1.003784790E3
9.034986551E2,1.003792114E3
9.044992231E2,1.003798447E3
9.054997961E2,1.003802490E3
9.065003721E2,1.003808975E3
9.075009461E2,1.003815231E3
9.085015251E2,1.003818436E3
9.095021031E2,1.003820648E3
9.105026801E2,1.003820953E3
9.115032551E2,1.003820953E3
9.125038321E2,1.003820419E3
9.135044121E2,1.003816223E3
9.145049841E2,1.003807144E3
9.155055631E2,1.003804703E3
9.165061361E2,1.003803024E3
9.175067141E2,1.003800964E3
9.185072951E2,1.003800964E3
9.195078711E2,1.003804016E3
9.205084501E2,1.003804474E3
9.215090141E2,1.003804474E3
9.225095961E2,1.003802109E3
9.235101711E2,1.003799744E3
9.245107471E2,1.003794632E3
9.255113251E2,1.003794632E3
9.265119011E2,1.003794937E3
9.275124821E2,1.003796692E3
9.285130541E2,1.003797455E3
9.295136301E2,1.003797455E3
9.305142111E2,1.003793564E3
9.315147771E2,1.003793564E3
9.325153601E2,1.003797379E3
9.335159371E2,1.003798523E3
9.345165111E2,1.003807144E3
9.355170881E2,1.003820190E3
9.365176641E2,1.003826752E3
9.375182431E2,1.003828735E3
9.385188231E2,1.003834381E3
9.395193971E2,1.003838196E3
9.405199681E2,1.003838348E3
9.415205441E2,1.003839645E3
9.425211221E2,1.003840256E3
9.435217021E2,1.003840256E3
9.445222751E2,1.003839340E3
9.455228521E2,1.003834839E3
9.465234321E2,1.003834305E3
9.475240001E2,1.003834152E3
9.485245801E2,1.003833389E3
9.495251551E2,1.003832932E3
9.505257321E2,1.003832550E3
9.515263081E2,1.003832092E3
9.525268841E2,1.003832092E3
9.535278531E2,1.003837280E3
9.545280411E2,1.003842239E3
9.555286161E2,1.003852692E3
9.565291941E2,1.003859863E3
9.575297741E2,1.003864670E3
9.585303441E2,1.003869629E3
9.595309211E2,1.003871841E3
9.605315011E2,1.003871841E3
9.615320751E2,1.003868332E3
9.625326581E2,1.003866882E3
