"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.918515192E1,-4.479597593E-3,-1.706381980E-3,-1.881224692E-2
4.943484192E1,-7.423314359E-4,-1.360665355E-3,-2.717376530E-2
4.968453229E1,1.526616644E-3,-5.382380281E-3,-2.178497136E-2
4.993422229E1,-4.512597816E-3,-8.605255913E-3,-3.031781316E-2
5.018391129E1,-2.715163724E-3,-4.814834911E-3,-4.124333560E-2
5.043360129E1,5.492746476E-3,-6.167898886E-4,-3.122003853E-2
5.068329087E1,1.363214375E-3,-6.386913657E-3,-2.343856394E-2
5.093298088E1,-9.160576947E-4,-5.757899433E-3,-2.150313556E-2
5.118267087E1,-1.666977229E-3,-1.301772930E-3,-3.064350307E-2
5.143236087E1,2.090297369E-3,-1.113916509E-2,-2.121720672E-2
5.168205017E1,4.825716214E-3,-3.696134649E-3,-3.032541454E-2
5.193174017E1,-7.684237221E-3,-4.464020245E-3,-2.911621034E-2
5.218143017E1,-3.030054560E-3,-2.321929336E-3,-3.210647643E-2
5.243111917E1,8.222647011E-4,-6.087682396E-3,-2.956469178E-2
5.268080979E1,-9.632812701E-3,-7.209434174E-4,-3.003246903E-2
5.293049979E1,-7.615066487E-3,-8.621354029E-4,-1.881809413E-2
5.318018979E1,-2.803100366E-4,-3.498133309E-3,-2.734041095E-2
5.342987979E1,-5.594551982E-3,-3.377881665E-3,-3.316833079E-2
5.367956962E1,-8.192369398E-3,-6.030927859E-3,-3.314786553E-2
5.392925963E1,-3.551105428E-3,-4.746294580E-3,-3.077214181E-2
5.417894962E1,1.644986216E-3,-2.359771784E-3,-2.704395711E-2
5.442863962E1,5.971788755E-4,-5.365733989E-4,-2.480447352E-2
5.467832987E1,4.407393616E-3,3.647511397E-3,-1.881400108E-2
5.492801987E1,2.704017470E-3,-7.957859505E-3,-2.779298544E-2
5.517770888E1,7.282798458E-3,-6.232163440E-3,-1.283229947E-2
5.542739888E1,1.530563515E-3,-6.124903578E-3,-2.764505088E-2
5.567708887E1,-4.859648338E-3,-6.785602402E-3,-3.019443691E-2
5.592677887E1,-3.754136288E-3,1.372555302E-2,-2.662295759E-2
5.617646888E1,-3.166641863E-3,4.810796678E-3,-2.510560513E-2
5.642615887E1,-4.485280355E-3,3.875205629E-3,-3.002896070E-2
5.667584850E1,2.023008708E-3,-6.391152889E-3,-3.345835268E-2
5.692553850E1,-6.525858119E-4,6.144875474E-4,-2.990675390E-2
5.717522850E1,-2.356327409E-3,4.737414122E-3,-2.943663776E-2
5.742491850E1,-8.252705354E-3,-4.355810210E-4,-3.617321491E-2
5.767460892E1,-3.193475101E-3,2.803246547E-3,-2.372800112E-2
5.792429892E1,2.682665996E-3,8.686587028E-3,-2.658553541E-2
5.817398892E1,-6.694248794E-3,1.140316688E-3,-1.595939040E-2
5.842367892E1,3.342259331E-3,-5.689925551E-3,-2.526640356E-2
5.867336862E1,-6.968236528E-5,-4.937169626E-3,-2.705331266E-2
5.892305862E1,-4.624782130E-3,6.329958122E-3,-2.433494210E-2
5.917274862E1,-2.302980702E-3,-7.840695921E-3,-2.626803160E-2
5.942243863E1,-5.420615589E-3,-6.356197502E-3,-3.288240194E-2
5.967212850E1,5.806102417E-5,2.403105134E-2,7.503147125E-3
5.992181850E1,-4.272656408E-3,2.052025516E-3,-2.648087025E-2
6.017150850E1,-2.254393995E-3,6.998642050E-3,-3.185563087E-2
6.042119850E1,4.924908746E-3,2.555891052E-3,-3.081248760E-2
6.067088892E1,-2.455428578E-3,-5.384445079E-3,-2.270532310E-2
6.092057892E1,-7.040486187E-3,1.157547701E-3,-3.064408779E-2
6.117026892E1,-1.714769080E-3,-2.495372370E-3,-2.194693923E-2
6.141995892E1,8.205105364E-4,-7.011560742E-3,-3.843024015E-2
6.166964838E1,2.668888494E-4,5.959281195E-3,-2.812276840E-2
6.191933837E1,-1.288288245E-2,-4.412491657E-3,-2.433435738E-2
6.216902837E1,6.521344800E-3,-6.458688229E-3,-2.180660605E-2
6.241871838E1,-4.012802490E-3,2.015315965E-3,-1.702592254E-2
6.266840925E1,-1.165276989E-3,-1.168346778E-3,-3.556919754E-2
6.291809925E1,-1.307921642E-3,4.076989386E-3,-3.585863471E-2
6.316778925E1,1.165194763E-3,6.467385963E-4,-3.109549284E-2
6.341747925E1,8.377452046E-3,3.371157367E-3,-3.317125440E-2
6.366716925E1,4.029553849E-3,-7.054629140E-3,-3.289409637E-2
6.391685925E1,-9.026273713E-4,-2.040824443E-3,-3.066104472E-2
6.416654925E1,6.907562530E-3,-3.683325592E-3,-2.393557727E-2
6.441623925E1,-5.370128537E-3,-8.941306360E-3,-2.709073484E-2
6.466592850E1,-4.590548510E-3,-1.828716695E-4,-3.768472016E-2
6.491561850E1,4.531656085E-3,-3.518361021E-3,-2.988044143E-2
6.516530850E1,-4.852686496E-4,2.450695988E-3,-1.836961269E-2
6.541499850E1,-8.479499663E-3,8.023110777E-4,-1.238557220E-2
6.566468900E1,-2.093394566E-3,-2.229451966E-3,-2.225333333E-2
6.591437900E1,9.390198933E-3,-6.856847070E-3,-3.529028535E-2
6.616406900E1,-8.972945279E-3,4.252387583E-3,-2.179374218E-2
6.641376000E1,-4.037566362E-3,-5.584803578E-3,-2.868936360E-2
6.666345013E1,2.498771064E-4,-2.208968438E-3,-2.644637167E-2
6.691314012E1,-5.801712438E-3,8.681306262E-3,-2.721644998E-2
6.716283012E1,1.468729209E-3,-7.929189876E-4,-2.933372676E-2
6.741252012E1,-5.726927463E-3,-2.041628435E-3,-3.397290766E-2
6.766221000E1,-2.927271472E-3,-2.176607754E-3,-3.514001191E-2
6.791190000E1,3.350418024E-3,2.149710562E-3,-3.272686601E-2
6.816159000E1,1.017351570E-3,2.454681231E-2,-1.580326974E-2
6.841128000E1,3.863995420E-3,-8.963050693E-4,-2.133356631E-2
6.866097042E1,-1.911180709E-3,-2.985825855E-3,-3.093352497E-2
6.891066142E1,-1.438460732E-3,2.386997882E-3,-3.438630581E-2
6.916035142E1,-1.503428780E-3,-6.469834484E-3,-3.302448928E-2
6.941004142E1,-1.818913473E-3,-2.898830250E-3,-2.523658276E-2
6.965973087E1,2.625399828E-3,-8.436070383E-3,-2.852096379E-2
6.990942088E1,7.564853523E-3,4.408288971E-3,-2.883203566E-2
7.015911087E1,2.825666964E-4,-5.160898715E-4,-3.048095047E-2
7.040880087E1,3.538625278E-3,-1.492721066E-3,-2.553303659E-2
7.065849029E1,-2.338566491E-3,-7.669317685E-3,-2.311813653E-2
