"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.645097067E1,-1.137247775E-3,1.127106138E-3,1.501976512E-3
3.670066037E1,8.754264563E-4,6.783911958E-4,-1.454092213E-3
3.695035038E1,-7.467144169E-4,-8.201398887E-4,-2.133878414E-3
3.720004037E1,-1.124748029E-3,-3.569889814E-4,-3.176213941E-3
3.744973037E1,1.421212219E-4,1.890378073E-3,3.212392330E-4
3.769942354E1,-8.357530460E-4,-3.279917873E-4,-6.467897911E-4
3.794911354E1,2.278338419E-3,-5.297055468E-4,1.857225318E-3
3.819880354E1,2.122837817E-3,-2.652101219E-3,1.854868606E-5
3.844849354E1,-1.962727867E-3,-1.294231042E-3,-2.395941410E-3
3.869818004E1,-4.127970897E-4,4.467461258E-4,-1.515013399E-3
3.894786904E1,-3.494387493E-4,-2.827839926E-4,-1.215735683E-3
3.919755904E1,1.357891597E-4,1.142238267E-3,-3.563901410E-4
3.944724904E1,-1.599282958E-3,-5.407552235E-4,-1.477223122E-3
3.969693879E1,7.135747001E-4,-1.097942237E-3,2.447912237E-3
3.994662779E1,1.634964719E-4,-1.082872506E-3,-4.340554588E-4
4.019631779E1,5.707875825E-4,2.915547229E-4,-6.022248417E-4
4.044600779E1,3.001831938E-3,1.372842584E-3,-5.081382114E-4
4.069569750E1,-2.823127434E-3,2.184845507E-4,-1.012599329E-3
4.094538750E1,-1.769432798E-3,1.111781690E-3,-1.235021045E-3
4.119507650E1,-3.694617189E-4,2.225184347E-3,-1.913864049E-3
4.144476650E1,3.546932712E-4,1.798619516E-3,5.012776237E-4
4.169445675E1,-2.849195153E-4,7.115630433E-4,-4.255718086E-4
4.194414675E1,1.911582192E-3,9.739780799E-4,-7.768729702E-4
4.219383675E1,9.985268116E-5,1.402535941E-3,-2.270012628E-4
4.244352575E1,-1.424950082E-3,-2.300036140E-4,-2.443761565E-3
4.269321563E1,7.219458930E-4,2.338794991E-3,-2.356374636E-3
4.294290562E1,5.282470956E-4,-1.604279503E-3,2.160223667E-4
4.319259562E1,5.072741769E-4,5.003064871E-5,4.784206394E-4
4.344228563E1,-2.252114937E-4,-4.766811617E-4,-1.616644440E-3
4.369197562E1,1.010515261E-3,-1.463540364E-3,-4.327180795E-5
4.394166462E1,1.751182834E-3,1.030554064E-3,-2.123369370E-3
4.419135462E1,-1.808568835E-3,5.521220155E-4,4.162290134E-5
4.444104463E1,5.019088276E-4,1.598480158E-4,1.244368497E-3
4.469073417E1,8.421288803E-4,-1.898985356E-4,-2.694728319E-4
4.494042417E1,2.061362611E-3,2.333368640E-3,1.014136476E-3
4.519011317E1,-2.535073552E-3,-4.040356725E-4,1.684301067E-3
4.543980317E1,-1.082177274E-3,-9.198440239E-5,1.448282506E-3
4.568949425E1,-8.913930506E-4,1.032797620E-3,1.618234906E-3
4.593918425E1,-7.414584979E-5,7.912130095E-4,3.598378971E-4
4.618887425E1,-1.987130381E-4,1.023300923E-3,-1.956333872E-4
4.643856425E1,2.144272439E-3,-1.664604992E-3,-1.075357199E-3
4.668825317E1,-2.050697803E-3,-2.932441421E-4,-8.427712601E-4
4.693794317E1,2.189422958E-4,-2.552960534E-3,-2.119983546E-3
4.718763317E1,9.834908415E-4,-9.168698452E-4,5.793967284E-4
4.743732317E1,-8.079125546E-4,-1.203045715E-3,-2.100887941E-3
4.768701229E1,2.812384628E-4,2.660788596E-4,-3.907729406E-4
4.793670229E1,1.295234542E-3,5.474784411E-4,-1.015607966E-3
4.818639229E1,8.721416816E-4,2.670789137E-3,-1.466184389E-3
4.843608129E1,-2.835923806E-4,1.652989071E-3,8.458679076E-4
4.868577192E1,-1.500699669E-3,1.565318555E-3,-7.615655195E-4
4.893546192E1,-2.428037114E-4,7.340661250E-4,2.143861260E-3
4.918515192E1,-8.937143721E-4,2.103210893E-3,6.310734898E-4
4.943484192E1,8.971286006E-4,3.586132079E-4,-1.377785229E-3
4.968453229E1,-2.875260077E-3,7.560849190E-5,1.398888184E-3
4.993422229E1,2.093860647E-3,-1.279906370E-3,1.259604469E-4
5.018391129E1,-4.108655266E-4,-9.523844346E-4,1.979421359E-4
