"Time (s)","Distance (cm)"
2.043601962E3,0.000000000E0
2.043721622E3,5.000000000E0
2.044237219E3,0.000000000E0
2.045005548E3,5.000000000E0
2.045466207E3,0.000000000E0
2.045691026E3,5.000000000E0
2.046675094E3,0.000000000E0
2.046901373E3,5.000000000E0
2.047282339E3,0.000000000E0
2.047402829E3,5.000000000E0
2.048503567E3,0.000000000E0
2.048730656E3,5.000000000E0
2.049178911E3,0.000000000E0
2.049403754E3,5.000000000E0
2.062997724E3,0.000000000E0
2.063330128E3,5.000000000E0
2.069144380E3,0.000000000E0
2.069370435E3,5.000000000E0
2.070421625E3,0.000000000E0
2.070647659E3,5.000000000E0
2.090460686E3,0.000000000E0
2.090577746E3,5.000000000E0
2.093053943E3,0.000000000E0
2.093280199E3,5.000000000E0
2.093744718E3,0.000000000E0
2.093973893E3,5.000000000E0
2.094351963E3,0.000000000E0
2.094578276E3,5.000000000E0
2.095646349E3,0.000000000E0
2.095765064E3,5.000000000E0
