"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.290945300E1,3.906875610E-2,2.146536255E-1,9.777068481E0
7.315914300E1,3.502716064E-2,2.109114075E-1,9.789642334E0
7.340883300E1,3.323089600E-2,2.183958435E-1,9.780810699E0
7.365852342E1,3.517684937E-2,2.083666992E-1,9.770033112E0
7.390821342E1,3.607498169E-2,2.041754150E-1,9.785451050E0
7.415790342E1,4.505630493E-2,2.165995789E-1,9.771380310E0
7.440759342E1,4.071533203E-2,2.118095398E-1,9.783505096E0
7.465728400E1,4.056564331E-2,2.080673218E-1,9.782157898E0
7.490697500E1,4.101470947E-2,2.085163879E-1,9.786498871E0
7.515666500E1,3.547622681E-2,2.076182556E-1,9.778864746E0
7.540635500E1,4.176315308E-2,2.152523804E-1,9.778715057E0
7.565604429E1,5.254074097E-2,2.070195007E-1,9.776170349E0
7.590573429E1,3.218307495E-2,2.168989563E-1,9.779912567E0
7.615542529E1,3.547622681E-2,2.142045593E-1,9.782906342E0
7.640511529E1,4.056564331E-2,2.128573608E-1,9.790241089E0
7.665480588E1,3.562591553E-2,2.151026917E-1,9.777218170E0
7.690449588E1,3.278182983E-2,2.165995789E-1,9.782756653E0
7.715418687E1,4.430786133E-2,2.062710571E-1,9.776320038E0
7.740387687E1,4.131408691E-2,2.058219910E-1,9.769584045E0
7.765356638E1,4.266128540E-2,2.095642090E-1,9.787846069E0
7.790325637E1,4.071533203E-2,2.124082947E-1,9.772577820E0
7.815294737E1,4.595443726E-2,2.155517578E-1,9.785600739E0
7.840263737E1,4.281097412E-2,2.094145203E-1,9.787846069E0
7.865232750E1,3.921844482E-2,2.121089172E-1,9.776469727E0
7.890201750E1,4.026626587E-2,2.171983337E-1,9.775272217E0
7.915170850E1,4.939727783E-2,2.100132751E-1,9.794432373E0
7.940139850E1,4.266128540E-2,2.064207458E-1,9.786648560E0
7.965108838E1,3.981719971E-2,2.136058044E-1,9.777667236E0
7.990077837E1,4.745132446E-2,2.171983337E-1,9.786049805E0
8.015046937E1,3.891906738E-2,2.077679443E-1,9.783355408E0
8.040015937E1,4.610412598E-2,2.134561157E-1,9.782307587E0
8.064984954E1,4.011657715E-2,2.198927307E-1,9.776469727E0
8.089953954E1,3.098556519E-2,2.101629639E-1,9.785451050E0
8.114923054E1,4.041595459E-2,2.107617188E-1,9.783355408E0
8.139892054E1,3.727249146E-2,2.074685669E-1,9.789941711E0
8.164861067E1,3.712280273E-2,2.236349487E-1,9.785900116E0
8.189830167E1,4.730163574E-2,2.128573608E-1,9.780511322E0
8.214799167E1,3.053649902E-2,2.177970886E-1,9.778864746E0
8.239768167E1,3.682342529E-2,2.119592285E-1,9.790839844E0
8.264737312E1,4.640350342E-2,2.167492676E-1,9.779613190E0
8.289706312E1,3.487747192E-2,2.125579834E-1,9.786798248E0
8.314675313E1,4.236190796E-2,2.136058044E-1,9.784253540E0
8.339644312E1,3.981719971E-2,2.124082947E-1,9.773925018E0
8.364613367E1,4.116439819E-2,2.115101624E-1,9.786648560E0
8.389582367E1,3.008743286E-2,2.122586060E-1,9.779463501E0
8.414551467E1,2.814147949E-2,2.140548706E-1,9.779762878E0
8.439520467E1,4.311035156E-2,2.186952209E-1,9.765692139E0
8.464489542E1,3.802093506E-2,2.160008240E-1,9.775571594E0
8.489458642E1,3.577560425E-2,2.139051819E-1,9.781409454E0
8.514427642E1,2.814147949E-2,2.174977112E-1,9.777068481E0
8.539396642E1,3.817062378E-2,2.142045593E-1,9.769584045E0
8.564365654E1,3.891906738E-2,2.095642090E-1,9.768685913E0
8.589334654E1,3.607498169E-2,2.088157654E-1,9.787846069E0
8.614303654E1,3.951782227E-2,2.163002014E-1,9.776320038E0
8.639272754E1,3.667373657E-2,2.171983337E-1,9.778265991E0
8.664241812E1,3.847000122E-2,2.064207458E-1,9.784103851E0
8.689210813E1,4.086502075E-2,2.067201233E-1,9.772577820E0
8.714179913E1,3.427871704E-2,2.121089172E-1,9.772577820E0
8.739148912E1,3.966751099E-2,2.170486450E-1,9.772877197E0
8.764118017E1,3.757186890E-2,2.103126526E-1,9.778715057E0
8.789087017E1,3.772155762E-2,2.098635864E-1,9.782008209E0
8.814056017E1,3.487747192E-2,2.133064270E-1,9.778116302E0
8.839025117E1,3.817062378E-2,2.103126526E-1,9.782008209E0
8.863994029E1,4.101470947E-2,2.062710571E-1,9.787846069E0
8.888963129E1,4.595443726E-2,2.137554932E-1,9.775122528E0
8.913932129E1,3.233276367E-2,2.059716797E-1,9.772128754E0
8.938901229E1,3.622467041E-2,2.079176331E-1,9.783804474E0
8.963870275E1,3.966751099E-2,2.164498901E-1,9.773625641E0
8.988839275E1,3.876937866E-2,2.200424194E-1,9.790839844E0
9.013808375E1,4.116439819E-2,2.158511353E-1,9.766590271E0
9.038777375E1,4.565505981E-2,2.151026917E-1,9.782157898E0
9.063746525E1,4.176315308E-2,2.174977112E-1,9.779014435E0
9.088715525E1,3.427871704E-2,2.106120300E-1,9.776170349E0
9.113684625E1,4.730163574E-2,2.140548706E-1,9.776170349E0
9.138653625E1,3.397933960E-2,2.101629639E-1,9.785750427E0
9.163622717E1,4.400848389E-2,2.031275940E-1,9.773925018E0
9.188591717E1,4.056564331E-2,2.038760376E-1,9.780361633E0
9.213560817E1,3.936813354E-2,2.179467773E-1,9.789342957E0
9.238529817E1,3.592529297E-2,2.191442871E-1,9.783205719E0
9.263498954E1,4.026626587E-2,2.079176331E-1,9.771529999E0
9.288467954E1,4.520599365E-2,2.079176331E-1,9.774074707E0
9.313437054E1,4.251159668E-2,2.106120300E-1,9.778565369E0
9.338406054E1,3.128494263E-2,2.149530029E-1,9.779613190E0
9.363375125E1,3.457809448E-2,2.131567383E-1,9.787247314E0
9.388344125E1,4.999603271E-2,2.116598511E-1,9.775870972E0
9.413313225E1,3.233276367E-2,2.134561157E-1,9.780361633E0
9.438282225E1,4.161346436E-2,2.164498901E-1,9.778864746E0
9.463251312E1,3.682342529E-2,2.165995789E-1,9.771080933E0
9.488220312E1,4.011657715E-2,2.174977112E-1,9.784552917E0
9.513189413E1,3.293151855E-2,1.889071655E-1,9.771979065E0
9.538158412E1,4.655319214E-2,2.110610962E-1,9.777667236E0
9.563127529E1,3.338058472E-2,2.165995789E-1,9.790989532E0
9.588096529E1,2.814147949E-2,2.152523804E-1,9.779313812E0
9.613065629E1,3.442840576E-2,2.133064270E-1,9.785900116E0
9.638034729E1,3.412902832E-2,2.133064270E-1,9.780062256E0
9.663003650E1,3.772155762E-2,2.158511353E-1,9.772877197E0
9.687972750E1,4.161346436E-2,2.092648315E-1,9.772428131E0
9.712941750E1,4.011657715E-2,2.154020691E-1,9.786947937E0
9.737910850E1,2.948867798E-2,2.121089172E-1,9.777816925E0
