,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
1970-01-01 00:13:02,1.9419866205000007,-5.091961213,-3.3742831425,0.317878566775,-0.004182837925000071,-0.14810332675,16.445304871250002,31.3371429425,-27.1105346675,2.6470588235294117,52.32023258,4.874420352,2.1778831480000003,3.289999962,9.84375,10.0,10.0,0,1,0,0,0,0,0,0,-0.0741342653266687,0.8434728630108451,0.31868968777034345,0.13136243983970786,0.07513819580951608,-0.006421348686803689
1970-01-01 00:13:03,-2.4153273003333333,-14.873719940133336,1.1765034486333332,-0.41791981459999983,0.7423125915250001,0.0612858235,9.025421143250002,34.7202606225,-16.25558471725,2.6470588235294117,52.32026217,4.874426723,2.131801605,3.289999962,7.734375,10.0,10.0,0,1,0,0,0,0,0,0,-0.13105140222534267,0.9090554154563066,0.24620917644360826,0.06929056507584394,0.02845759826904791,0.12413644199477242
1970-01-01 00:13:04,9.416168978,-11.096350021,3.548895035,0.006661325550000055,-0.353504804855,-0.238727301475,12.490188598,25.389125825,-28.210388185,2.6470588235294117,52.32028983,4.874437284,1.725246429,3.289999962,9.4921875,10.0,10.0,0,1,0,0,0,0,0,0,-0.038539063491643544,0.7860321850186175,0.38649719489790263,0.3203021667275693,0.156087027450707,0.0068007139815994015
1970-01-01 00:13:05,-4.875012360866667,-10.180429687733334,1.0480206299333334,-0.6921448409999998,0.7724152207499999,0.14234568177500007,6.476585388575,35.1414337175,-21.254119875,2.6470588235294117,52.32031921,4.874444325,1.844936371,3.74000001,8.0859375,10.0,10.0,0,1,0,0,0,0,0,0,-0.08430274908905841,0.9499930649601274,0.2928041110057999,0.08833095482098612,0.013052507485550372,0.17204990053534433
1970-01-01 00:13:06,4.2756337715,-16.051346056,5.467979278,-0.12260839335000005,-0.797208644525,0.05117338897499985,11.521759033250001,31.328559875,-27.3907928475,2.6470588235294117,52.32035236,4.874453964,1.8686790469999999,4.079999924,7.734375,10.0,10.0,0,1,0,0,0,0,0,0,-0.029299816530418507,0.9287738513568319,0.37844612359403745,0.21901675279609467,0.09080041685111513,-0.05252178613903902
1970-01-01 00:13:07,-3.7069912716666655,-5.8236895763000005,1.7208714304,-1.1429090205,1.661177486,0.4716736356174999,7.19902801555,36.4165344225,-19.76255798325,2.6470588235294117,52.32038694,4.874465698,1.778224945,3.9400000569999998,8.7890625,10.0,10.0,0,1,0,0,0,0,0,0,-0.08329089707755997,0.9774389158897054,0.27693691545583793,0.10733397128069497,0.03291419839163083,0.28076160596139993
1970-01-01 00:13:08,4.07662261985,-17.457896115,5.0121771245,-0.41305598984999997,-1.0588998199750002,0.22987344114999994,15.019210816500001,31.1896133425,-26.28421020750001,2.6470588235294117,52.32041862,4.874479612,1.800136566,3.9400000569999998,12.3046875,10.0,10.0,0,1,0,0,0,0,0,0,-0.019210472361344804,0.9584563121389609,0.37434216289380684,0.18949298035610398,0.09763498006359982,-0.06025318407534548
1970-01-01 00:13:09,-3.5695770253333325,-6.926645965666666,2.963387603333333,0.06534254560000008,1.286769569,0.026450732782499927,9.6748886105,35.182563782500004,-19.5569763175,2.6470588235294117,52.32044267,4.87449252,1.6285667419999998,3.700000048,16.5234375,10.0,10.0,0,1,0,0,0,0,0,0,-0.06564514541244267,0.9404450969480809,0.29679255911377816,0.09274709973072076,0.04734267618007361,0.06922416281373692
1970-01-01 00:13:10,5.6389237975,-20.249515915,3.820954287,-0.3996749147250002,-1.0516476405750002,0.301710769515,14.00528717175,29.39741516,-26.2887573225,2.6470588235294117,52.32046803,4.874510709,1.3189353940000001,3.4200000760000004,18.28125,10.0,10.0,0,1,0,0,0,0,0,0,-0.0127169566692244,0.9236324546765547,0.3602075849406991,0.2164266226131318,0.13529586181506856,-0.08728896260043909
1970-01-01 00:13:11,-0.4225712596666664,-6.454078673000001,3.0846354667,-0.4038750973750001,0.84871771925,0.08379306825000007,9.924797058300001,33.2825164775,-18.4780731205,2.6470588235294117,52.32049829,4.874534346,1.180690765,3.529999971,21.4453125,10.0,10.0,0,1,0,0,0,0,0,0,-0.05627847335001121,0.925422276096234,0.2887550883397356,0.14774374288077038,0.10727437876775624,0.09854769678499276
1970-01-01 00:13:12,6.5826363375,-22.51243515,2.854638748,-0.241336941475,-0.5181890503000001,0.29583048832500003,14.6333160415,28.052501677500004,-23.7412109375,2.6470588235294117,52.32052402,4.874554295,0.9045066833,3.4200000760000004,19.6875,10.0,10.0,0,1,0,0,0,0,0,0,-0.017442878902398953,0.9403750897698435,0.3316466227309943,0.22916387660350998,0.16787839587316528,-0.06660858652395539
1970-01-01 00:13:13,-1.9910096738333336,-4.765540007999999,2.144241027566667,-0.29751697927500004,0.80075150725,-0.3157511948249999,9.727157594,34.0015869125,-15.854019165499999,2.6470588235294117,52.32055227,4.874567203,0.8409080505,3.3800001139999996,15.46875,10.0,10.0,0,1,0,0,0,0,0,0,-0.08929493221534625,0.93429101528343,0.27339394267179246,0.12472648278137308,0.117282093882282,0.12331519580259265
1970-01-01 00:13:14,6.6808321379999995,-20.325857165,2.30011688235,0.18563591117,-0.5535522118995,-0.11972889310000001,10.37442016525,32.074897765,-20.3988800025,2.6470588235294117,52.32057544,4.874587068,0.9788475037000001,2.960000038,16.875,10.0,10.0,0,1,0,0,0,0,0,0,-0.07283474597936755,0.9118321847349595,0.26494723511599017,0.21379227899391845,0.18174154685024796,-0.1073334710382954
1970-01-01 00:13:15,-1.2388238520000001,-3.5308575436666665,0.24514022816666656,-0.20276644085,0.69618031375,0.34320124230000004,11.7055435175,34.201789855,-15.54478454625,2.6470588235294117,52.32059548,4.874615986,1.273891449,3.1300001139999996,27.0703125,10.0,10.0,0,1,0,0,0,0,0,0,-0.06759263872070183,0.9424374467017677,0.23846031227340325,0.10492123266406657,0.12257335208646564,-0.005084707496486008
1970-01-01 00:13:16,6.0827508545,-20.83958885,2.7837611388,-0.09864892079999993,-0.3956752864750001,-0.3337699026000002,15.31497955225,26.55944824,-27.4520721475,2.6470588235294117,52.3206161,4.874642389,1.45797348,3.1300001139999996,34.8046875,10.0,10.0,0,1,0,0,0,0,0,0,0.04814795210900426,0.9375607276719155,0.3577340776683736,0.23314507438165294,0.16543683298724873,0.0019791515270635826
1970-01-01 00:13:17,-1.080253601,-3.942102356,0.8160031129999998,-0.07783482972499989,0.8133589028749999,0.3136259465499999,10.616554261000001,34.3422470075,-18.8911438,2.6470588235294117,52.32063441,4.874664349,1.533473969,2.670000076,33.046875,10.0,10.0,0,1,0,0,0,0,0,0,-0.03984956869374665,0.9173277047332725,0.26436889577556877,0.1080441690085805,0.12042491015554935,-0.03258923610091159
1970-01-01 00:13:18,4.0310424043,-23.654111021,2.444566498,0.12239743017499995,-1.1002899630999998,-0.10764667380000008,14.98035430725,28.878967285,-26.79954529,2.6470588235294117,52.32066316,4.874676419,1.831752777,2.670000076,17.2265625,10.0,10.0,0,1,0,0,0,0,0,0,-0.007148298736371142,0.9647377021150209,0.3653324031894573,0.18249847596985533,0.13359980275658245,-0.15897214644374177
1970-01-01 00:13:19,-3.1251013183333334,-6.778753507333334,-0.2858555603333333,-0.8598185005899999,0.26035848252500005,0.8309155665000001,6.6786651618500015,34.466285705000004,-23.53305053750001,2.6470588235294117,52.32069216,4.874677677,2.170619965,2.75999999,4.5703125,10.0,10.0,0,1,0,0,0,0,0,0,-0.0650437580053119,1.0044188150954931,0.3102366615035703,0.13922261522112075,0.06439681752419264,-0.005824687385053397
1970-01-01 00:13:20,3.8728214265,-23.718177795,4.206702118000002,0.035333909199999874,-0.08243595062499998,0.08281037200000002,13.00982666075,28.236763,-32.2459411625,2.6470588235294117,52.32071961,4.874673486,2.24123764,2.849999905,357.890625,10.0,10.0,0,1,0,0,0,0,0,0,0.8236779461133416,0.752065423691747,0.01180873421314405,0.0056164708948760874,0.17081835528344652,-0.09563007980428498
1970-01-01 00:13:21,-0.7824728383333331,-6.131798857666666,0.3287663266666668,-0.38148123494499997,0.01923948507499995,0.3537116386800001,3.615447997975,33.6911277775,-26.31225586,2.6470588235294117,52.32074782,4.874652698999999,2.257228851,2.849999905,350.859375,10.0,10.0,0,1,0,0,0,0,0,0,0.744741892701846,0.7410975898891519,-0.09935968122198063,-0.010290249464947918,0.14788376384853402,-0.05466835071572852
1970-01-01 00:13:22,4.2434506985,-24.680077516,0.8204438784999999,0.17643427862500002,-0.3462855369000001,0.14234840850000002,3.30428314225,26.1095314025,-35.1289672825,2.6470588235294117,52.32077979,4.874630235,2.021266937,2.849999905,351.5625,10.0,10.0,0,1,0,0,0,0,0,0,0.8211391151152113,0.7378601810210306,-0.02799264519160247,0.11233716352845485,0.16988547788597566,-0.13415039804068127
1970-01-01 00:13:23,-0.28765182503333303,-8.360564118666668,-0.2270278929999998,-0.5292987677500002,0.2475722729750001,0.92200222622,-11.03448486275,29.323890685,-29.3062438975,2.6470588235294117,52.320816,4.874598887,1.9063377380000002,3.1199998860000004,343.125,10.0,10.0,0,1,0,0,0,0,0,0,0.7627587632712873,0.7300680805012838,-0.11331999007772621,0.1661331398866357,0.14095204369154601,-0.07876875777147473
1970-01-01 00:13:24,0.6725514220000001,-20.3386555465,0.4384382629999999,0.301453478625,-0.425504162925,-0.05743916342499969,-8.03726196225,24.1326675425,-37.4971618675,2.6470588235294117,52.32084798,4.874564689,2.017238617,3.1199998860000004,339.609375,11.65467194,11.65467194,0,1,0,0,0,0,0,0,0.817255110301264,0.7321727000534298,-0.022781122860723806,0.2086194764640032,0.20821995342301675,-0.12693462858238663
1970-01-01 00:13:25,-5.506000212000001,-7.833360444299999,4.808400879,-0.973786912775,0.3363893329999999,0.379159990575,-13.353515625500002,30.178733825,-29.5867919925,2.6470588235294117,52.32087036,4.87452236,2.181056976,3.0599999430000002,322.734375,25.51657579,25.51657579,0,1,0,0,0,0,0,0,0.70567249637352,0.7543997165790853,-0.07147251437065887,0.17005774023984888,0.8742432182615703,0.09001263289471517
1970-01-01 00:13:26,7.1359606935,-8.4863026427,4.8725175489999994,-0.4953411929325,-0.950582116725,0.416981905725,-13.00814819425,25.1320152275,-35.73948669500001,2.6470588235294117,52.3208883,4.874473158,1.881801605,3.0599999430000002,308.671875,22.83517666,22.83517666,0,1,0,0,0,0,0,0,0.7054996237807337,0.6611203014489434,-0.03390218067860447,0.39582663888532965,0.8529571001341136,-0.09941942527102149
1970-01-01 00:13:27,-5.767207032000001,-12.549827501500001,-2.0866607665,-0.06518193702499997,1.18252623075,0.17626395825000002,-13.514366150749998,27.7709808325,-31.41720581,2.6470588235294117,52.32089597,4.874413898,1.912929535,3.0599999430000002,288.28125,17.42319976,17.42319976,0,1,0,0,0,0,0,0,0.6371661288295678,0.7673126616003312,-0.07585720068763165,0.19423885233267035,0.4243469913261874,0.053968297803309084
1970-01-01 00:13:28,5.448569642333333,-7.587821045666669,2.49655838,-1.4411109088249998,-0.8666539267750001,0.7648219988999999,-15.243782041000006,23.5428543075,-33.8697967525,2.6470588235294117,52.32089718,4.87435028,1.976711273,3.450000048,278.7890625,17.7578773,17.7578773,0,1,0,0,0,0,0,0,0.6461779120103375,0.7135019222525709,-0.031530103899913745,0.43449544226910897,0.5405318243860548,0.043209226946639666
1970-01-01 00:13:29,-4.64416740431,-8.745496906354802,-0.5301974485000001,0.4606847465000001,1.007570311525,-0.2830834481000003,-16.5160751325,26.3108825675,-32.16810608,2.6470588235294117,52.32089588,4.874289595,2.001735687,3.450000048,271.7578125,17.82968977,17.82968977,0,1,0,0,0,0,0,0,0.606317286447472,0.7297168083787405,-0.05643130549719041,0.28254578081425497,0.43107897933746897,0.020958295011998796
1970-01-01 00:13:30,1.7231167606666666,-1.1626322939999998,-3.7666671756666674,-0.0314352356892092,-0.1986221075000001,1.2924424931249998,-14.6789550775,25.174892425000003,-32.91470337,2.6470588235294117,52.320895,4.874229077,2.055019379,3.410000086,272.4609375,17.79126873,17.79126873,0,1,0,0,0,0,0,0,0.5990992699482605,0.6913839223416184,-0.10092565187365848,0.3755025540888475,0.48594702915539645,-0.2148149888175776
1970-01-01 00:13:31,-2.0954175565,-24.60021858,10.33780243,0.44423037775,0.7749351225224999,0.033431649024999954,-17.975982665,26.9842224125,-31.890029905,2.6470588235294117,52.32089404,4.87416856,2.0643577580000003,3.410000086,271.7578125,17.84090963,17.84090963,0,1,0,0,0,0,0,0,0.6206760802506808,0.7074629099665984,0.017291809333886125,0.3108389623010524,0.40028841617280003,-0.1001427980089278
