,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance
1970-01-01 00:54:24,-3.596271514,-1.131122818,1.5861016845000004,0.8474394977499999,-2.1654533744999998,-0.4298216998500001,18.27343749875,24.8723678575,-32.05973816,,52.31855088,4.873457607,0.3874168396,0.0,342.421875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:25,-0.06706054676666658,-4.332590332,0.3269201660666665,-1.137728693125,2.042701155,1.360710717625,13.70211029375,41.542121885,-3.3127288812499995,,52.3185588,4.873455428,0.4744529724,0.1700000018,329.765625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:26,8.0576689915,-19.53003708,,0.32982156804999985,,0.992801897225,-13.9166107175,38.48473358,-5.80517578025,,52.31855976,4.873465653999999,0.35207748409999995,0.1700000018,94.21875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:27,3.3019335938333327,-1.7048048399999998,-1.5876484679,0.331609949575,,0.7210261822499999,6.582496643000001,36.299152375,-20.157943725,,52.31855934,4.873485854,0.4054832458,1.389999986,90.0,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:28,4.48482376125,-13.294379194000001,-3.0570178990000003,-1.377272017225,-2.3044401107500003,-0.181036256225,0.9622192385750002,37.11993408,-22.940200804499998,,52.31855972,4.873504713,0.6042747498,1.389999986,87.1875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:29,1.884830474833333,-9.745683745333334,1.3599220293333332,0.96688739945,0.17085279771750006,1.38030536455,-7.15969848825,28.918483735,-30.96308899,,52.31855842,4.873513682,0.8714866638,1.389999986,101.25,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:30,-0.8500822445,-5.2682945255,-1.920132065,-0.1368657275249998,-1.5376383065,0.4809343815,-10.59008788875,30.2065773,-30.067962645,,52.31855126,4.873513095,0.8922386169,0.8799999951999999,187.734375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:31,9.571945036,-8.304879915333332,-2.5915608228333338,0.6786452233499999,0.5769057272499999,-0.06686427622499999,-9.38672637775,35.911933899999994,-20.81930542,,52.31855126,4.873513095,0.9977073669,0.0,76.2890625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:32,-1.21943916335,-3.4036969760000004,0.3540886688000001,-0.5632517562,1.1157165765500001,-0.4847546517000001,-6.940361022,32.89358139,-24.400527955250002,,52.31854484,4.873503372,1.3503684999999999,0.8199999928,9.140625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:33,5.923581847666668,-13.827645263333334,1.2875225829999999,0.65791157342,0.13259626917499984,0.6335720417499999,-16.280815125000004,31.6651153575,-22.186065674250003,,52.31854313,4.87350069,1.415187836,0.4699999988,167.34375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:34,4.5365412139500005,-0.24227119449999998,-2.6266628265,-1.1011089532749998,-0.5497281795750001,0.626166358725,-16.973228455,25.6016387925,-28.14717102,,52.31854434,4.873496415,1.643764496,0.2099999934,172.96875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:35,7.3531091306666685,-5.051445465346666,5.06267212,0.24826119829999999,1.6571669278499996,1.619416195975,-28.277046205,27.79452896,-17.651473999,,52.31854409,4.873487948999999,1.607936859,0.4199999869,313.2421875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:36,-0.9644444277,-7.3522608932,11.9525695029,,1.7548871561,,-8.18791198765,24.3148994425,-36.84048462000001,,52.31854623,4.873478143,1.557216644,0.3199999928,13.359375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:37,1.3341256713333334,-6.0713246142333315,9.850465851333334,0.891631159875,-0.20801970362500005,0.2759522384750001,-1.306556700999999,38.6221771225,-19.38700866575,,52.31855469,4.873479065,1.573451996,0.4199999869,31.2890625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:38,2.6933491500000004,-14.2393640895,,-0.178914971675,-1.036490145875,0.5599136201499999,8.905525207750003,24.2805175775,-37.2973938,,52.31856408,4.873488704,1.757656097,1.049999952,55.8984375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:39,-1.3943005371666668,-8.161128844,3.790966643166667,0.8450857141000001,-0.8958532361,0.34838465590000006,-12.504211425975,36.773765565,-23.30873107825,,52.31857619,4.873502366,1.615505219,1.820000052,45.3515625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:40,13.8735997005,-18.00208946,-0.9894424434999998,-0.4495444110749999,0.9262697698000002,0.1611236949124999,-16.980613708675,23.6033668525,-33.5605926525,,52.31858701,4.873508653,1.890712738,1.049999952,28.4765625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:41,2.2201332092,-2.4459136963333328,-2.727577972333333,1.403314787775,0.7034333347499999,0.019307449399999958,-25.326850891,36.26636505,-11.389709471,,52.31859731,4.873508234,1.99288559,1.120000005,6.6796875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:42,11.22717796,-17.4751103195,3.245251464,-0.7635367809999999,,0.8593576961499998,-8.65802001975,18.58793639915,-30.364135742,,52.31860075,4.873505384,1.932460785,0.200000003,305.5078125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:43,2.41388031,-3.682242735666666,,1.135100900925,1.555915802775,-0.09779356417499986,-23.59726715,32.663238525,-22.42042541525,,52.31859958,4.873500271,1.953029633,0.3199999928,158.90625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:44,-5.7067327865,-13.600792005499999,3.2861164855,-1.2263598292250002,0.5812983515000001,0.357889555325,0.9704360964999984,22.923259735,-35.8586273175,,52.31859216,4.873492476,1.987819672,0.8899999856999999,209.53125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:45,4.464515991333333,-10.4126467892,-5.665468596099999,0.4160096199,-2.017693013,-0.5544314905,-19.260475159749998,40.80518341,-11.473632813824999,,52.31858374,4.873487363,2.1288108830000003,0.3899999857,134.6484375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:46,2.3683000945,2.4292982483500003,-6.4791265870000005,0.22192689775,-0.17536151400000022,-0.4424737247499998,-11.445426940505,16.344726563000002,-41.4799041775,,52.31857917,4.873486022,2.419338226,0.3899999857,86.484375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:47,5.8339682013333345,-14.417319033333333,3.6007621757666666,-0.4478553308499998,0.07303844387499991,0.46204943207500004,-28.9738922125,33.5974426275,-9.43440246575,,52.31857209,4.87348225,2.251491547,0.3899999857,171.5625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:48,2.5860223390000003,0.7520361324999998,-4.351301422,1.04353188335,-0.048337667999999945,-1.6271401644999999,-12.56475067,21.02494812,-36.4232788075,,52.31856563,4.873475209,2.32717514,0.5500000119,207.421875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:49,-0.535137175,-12.272978211000002,12.692555696,0.1373952626999999,,,-15.12812805125,26.8226814275,-29.7335968,,52.31855754,4.873464396,2.191677094,0.8000000119,214.1015625,10.0,10.0,0,0,0,0,0,0,0,1
