,acc_mobile_x,acc_mobile_y,acc_mobile_z,bar_mobile_x,labelOnTable,labelWalking,labelRunning,labelSitting
1970-01-01 00:00:24.750,0.04790039063,0.21121078489999998,9.773475952,1005.1670839999999,1,0,0,0
1970-01-01 00:00:25.000,0.026943969730000003,0.2073188782,9.786498871000001,,1,0,0,0
1970-01-01 00:00:25.250,0.03817062378,0.2161505127,9.780211945,,1,0,0,0
1970-01-01 00:00:25.500,0.03847000122,0.2125579834,9.778864746,,1,0,0,0
1970-01-01 00:00:25.750,0.03996688843000001,0.20672012329999997,9.777966614,1005.160217,1,0,0,0
1970-01-01 00:00:26.000,0.03607498169,0.21285736079999998,9.777667236000001,,1,0,0,0
1970-01-01 00:00:26.250,0.04969665527,0.21390518190000002,9.771979065,,1,0,0,0
1970-01-01 00:00:26.500,0.042511596680000006,0.21270767210000002,9.768386536,,1,0,0,0
1970-01-01 00:00:26.750,0.03712280273,0.2101629639,9.78889389,1005.155258,1,0,0,0
1970-01-01 00:00:27.000,0.04460723877,0.21405487059999997,9.780810699,,1,0,0,0
1970-01-01 00:00:27.250,0.03667373657,0.21225860600000002,9.778565368999999,,1,0,0,0
1970-01-01 00:00:27.500,0.04281097412,0.2236349487,9.772428131,,1,0,0,0
1970-01-01 00:00:27.750,0.03787124634,0.21270767210000002,9.783505096,1005.147934,1,0,0,0
1970-01-01 00:00:28.000,0.0375718689,0.2076182556,9.780511322,,1,0,0,0
1970-01-01 00:00:28.250,0.04610412598,0.2107617188,9.772428131,,1,0,0,0
1970-01-01 00:00:28.500,0.04086502075,0.2152523804,9.783954162999999,,1,0,0,0
1970-01-01 00:00:28.750,0.035925292969999995,0.20971389769999998,9.782906342,1005.144806,1,0,0,0
1970-01-01 00:00:29.000,0.03517684937,0.2149530029,9.774823151,,1,0,0,0
1970-01-01 00:00:29.250,0.03966751099,0.2044747925,9.780810699,,1,0,0,0
1970-01-01 00:00:29.500,0.03921844482,0.2149530029,9.780062256,,1,0,0,0
1970-01-01 00:00:29.750,0.042212219239999994,0.2040257263,9.777367859,1005.1404570000001,1,0,0,0
1970-01-01 00:00:30.000,0.04281097412,0.2076182556,9.779762878,,1,0,0,0
1970-01-01 00:00:30.250,0.03667373657,0.21061203,9.774673462,,1,0,0,0
