Time;x;y;z
6.154097871E2;-1.479913330E1;2.807649231E1;-3.340966797E1
6.156599091E2;-1.544512939E1;2.553749084E1;-3.593823242E1
6.159102751E2;-2.112069702E1;3.591392517E1;-2.053637695E1
6.161603661E2;-6.151580811E0;3.092015076E1;-3.382257080E1
6.164107560E2;-1.478244019E1;2.882881165E1;-3.398406982E1
6.166608780E2;-2.146475220E1;3.501332092E1;-2.513494873E1
6.169112440E2;-7.340332031E0;2.846076965E1;-3.740740967E1
6.171613660E2;-1.616366577E1;3.230207825E1;-3.001385498E1
6.174116732E2;-1.521487427E1;2.982283020E1;-3.249536133E1
6.176617952E2;-1.290792847E1;2.457588196E1;-3.741345215E1
6.179121612E2;-2.318533325E1;3.431120300E1;-2.088677979E1
6.181622832E2;-7.771789551E0;2.872056580E1;-3.519641113E1
6.184126629E2;-1.561306763E1;2.494947815E1;-3.609881592E1
6.186627549E2;-2.210888672E1;2.860722351E1;-3.034210205E1
6.189131209E2;-8.445953369E0;2.409745789E1;-3.977722168E1
6.191632429E2;-1.975534058E1;2.979673767E1;-3.203112793E1
6.194135981E2;-1.569271851E1;2.857759094E1;-3.433837891E1
6.196637201E2;-1.483789062E1;2.331208801E1;-3.907244873E1
6.199140561E2;-2.264993286E1;3.548899841E1;-2.270739746E1
6.201641781E2;-1.209484863E1;2.632106018E1;-3.762536621E1
6.204145515E2;-1.839392090E1;2.215763855E1;-3.799835205E1
6.206646735E2;-2.011993408E1;3.189799500E1;-2.834985352E1
6.209150405E2;-1.006097412E1;2.843888855E1;-3.615173340E1
6.211651625E2;-1.879672241E1;3.163447571E1;-2.915142822E1
6.214154756E2;-1.371707153E1;2.881211853E1;-3.422125244E1
6.216655986E2;-1.100198364E1;2.592683411E1;-3.722442627E1
6.219159646E2;-2.239929199E1;3.562281799E1;-2.072619629E1
6.221660866E2;-3.505828857E0;2.955952454E1;-3.573748779E1
6.224164697E2;-1.034191895E1;2.938023376E1;-3.481707764E1
6.226665617E2;-1.946945190E1;3.312831116E1;-2.794201660E1
6.229169277E2;-8.166076660E0;2.664057922E1;-3.835662842E1
6.231670497E2;-1.863351440E1;3.237828064E1;-2.982952881E1
6.234173973E2;-1.241040039E1;2.966026306E1;-3.443225098E1
6.236675193E2;-1.484991455E1;2.666709900E1;-3.607379150E1
6.239178553E2;-2.330972290E1;3.405357361E1;-2.312921143E1
6.241679773E2;-8.939056396E0;3.016175842E1;-3.446423340E1
6.244183569E2;-2.018969727E1;2.700004578E1;-3.280255127E1
6.246684789E2;-1.950207520E1;3.009327698E1;-3.019042969E1
6.249188449E2;-1.381973267E1;2.533222961E1;-3.655645752E1
6.251689369E2;-1.516696167E1;2.929200745E1;-3.258807373E1
6.254192855E2;-1.855212402E1;2.894313049E1;-3.013342285E1
6.256694075E2;-1.238412476E1;2.488902283E1;-3.710522461E1
6.259197735E2;-2.203594971E1;3.390815735E1;-2.230798340E1
6.261698955E2;-1.135794067E1;2.845484924E1;-3.376690674E1
6.264202412E2;-1.869961548E1;2.482133484E1;-3.459979248E1
6.266703632E2;-2.462460327E1;3.322798157E1;-2.169238281E1
6.269207292E2;-8.146514893E0;2.652299500E1;-3.743334961E1
6.271708522E2;-1.438812256E1;3.067970276E1;-3.154034424E1
6.274211964E2;-2.008578491E1;2.777369690E1;-3.112652588E1
6.276713184E2;-8.730529785E0;2.621925354E1;-3.697088623E1
6.279216544E2;-2.269641113E1;3.250038147E1;-2.413049316E1
6.281717764E2;-1.250225830E1;2.826603699E1;-3.393011475E1
6.284221546E2;-1.521887207E1;2.522535706E1;-3.537078857E1
6.286722766E2;-2.324057007E1;3.399494934E1;-1.974096680E1
6.289226426E2;-1.006259155E1;3.211671448E1;-3.009521484E1
6.291727346E2;-1.554971313E1;3.305033875E1;-2.780682373E1
6.294230904E2;-2.326824951E1;3.227226257E1;-2.531396484E1
6.296732124E2;-1.189663696E1;3.574546814E1;-2.774023438E1
6.299235784E2;-2.634631348E1;3.853443909E1;-9.797973633E0
6.301737004E2;-1.918130493E1;3.799705505E1;-2.211938477E1
6.304240344E2;-1.444805908E1;4.028181458E1;-2.237280273E1
6.306741564E2;-3.343322754E1;3.694602966E1;-8.722473145E0
6.309245224E2;-1.260693359E1;4.028202820E1;-2.552832031E1
6.311746444E2;-2.192214966E1;4.077940369E1;-1.803674316E1
