Time;latitude;longitude;height;velocity;direction;horizontalAccuracy;verticalAccuracy
2.104971301E3;5.231857443E1;4.873384265E0;6.920433044E-1;1.899999976E-1;2.204296875E2;1.000000000E1;1.000000000E1
2.105971293E3;5.231857229E1;4.873384852E0;6.093406677E-1;2.000000030E-1;2.309765625E2;1.000000000E1;1.000000000E1
2.106971285E3;5.231857967E1;4.873390971E0;5.140647888E-1;2.300000042E-1;3.494531250E2;1.000000000E1;1.000000000E1
2.107971278E3;5.231858629E1;4.873400107E0;2.410545349E-1;2.500000000E-1;1.652343750E1;1.000000000E1;1.000000000E1
2.108971270E3;5.231858629E1;4.873400107E0;2.047386169E-1;0.000000000E0;3.515625000E0;1.000000000E1;1.000000000E1
2.109971263E3;5.231859845E1;4.873398012E0;1.373558044E-1;2.500000000E-1;3.557812500E2;1.000000000E1;1.000000000E1
2.110971254E3;5.231860654E1;4.873396000E0;1.726951599E-1;5.199999809E-1;9.843750000E0;1.000000000E1;1.000000000E1
2.111971247E3;5.231861550E1;4.873399269E0;6.234359741E-2;3.000000119E-1;7.839843750E1;1.000000000E1;1.000000000E1
2.112971239E3;5.231862150E1;4.873400358E0;-1.540260315E-1;1.500000060E-1;1.416796875E2;1.000000000E1;1.000000000E1
2.113971231E3;5.231862443E1;4.873398179E0;-6.479263306E-2;1.899999976E-1;1.455468750E2;1.000000000E1;1.000000000E1
2.114971224E3;5.231862443E1;4.873398179E0;-7.321548462E-2;0.000000000E0;2.003906250E2;1.000000000E1;1.000000000E1
2.115971216E3;5.231862443E1;4.873398179E0;-2.915382385E-1;0.000000000E0;2.707031250E2;3.000000000E1;3.000000000E1
2.116971208E3;5.231862443E1;4.873398179E0;-3.401832581E-1;0.000000000E0;2.935546875E2;3.000000000E1;3.000000000E1
2.117971201E3;5.231863038E1;4.873369178E0;-3.796730042E-1;1.599999964E-1;2.077734375E2;3.000000000E1;3.000000000E1
2.118971193E3;5.231864325E1;4.873356605E0;-4.088478088E-1;1.599999964E-1;3.501562500E2;3.000000000E1;3.000000000E1
2.119971186E3;5.231865523E1;4.873353168E0;-2.014503479E-1;3.199999928E-1;2.812500000E0;3.000000000E1;3.000000000E1
2.120971178E3;5.231865821E1;4.873351157E0;-8.969497681E-2;1.700000018E-1;5.976562500E0;3.000000000E1;3.000000000E1
2.121971170E3;5.231865821E1;4.873351157E0;2.987289429E-2;0.000000000E0;2.949609375E2;1.000000000E1;1.000000000E1
2.122971163E3;5.231866278E1;4.873344367E0;-1.456642151E-1;2.300000042E-1;3.195703125E2;3.000000000E1;3.000000000E1
2.123971155E3;5.231867254E1;4.873341015E0;-1.010475159E-1;2.300000042E-1;3.350390625E2;3.000000000E1;3.000000000E1
2.124971147E3;5.231867564E1;4.873337494E0;-6.375503540E-2;1.899999976E-1;3.403125000E2;3.000000000E1;3.000000000E1
2.125971140E3;5.231867041E1;4.873342523E0;4.140853882E-2;2.899999917E-1;1.103906250E2;1.000000000E1;1.000000000E1
2.126971133E3;5.231867041E1;4.873342523E0;2.593650818E-1;0.000000000E0;1.093359375E2;1.000000000E1;1.000000000E1
2.127971125E3;5.231867041E1;4.873342523E0;1.256370544E-1;0.000000000E0;8.015625000E1;1.000000000E1;1.000000000E1
2.128971116E3;5.231867041E1;4.873342523E0;-5.026626587E-2;0.000000000E0;8.789062500E1;1.000000000E1;1.000000000E1
2.129971109E3;5.231868767E1;4.873347552E0;2.162933350E-3;1.800000072E-1;1.662890625E2;1.000000000E1;1.000000000E1
2.130971101E3;5.231868838E1;4.873344367E0;-9.799957275E-3;1.800000072E-1;1.444921875E2;1.000000000E1;1.000000000E1
2.131971093E3;5.231869052E1;4.873341853E0;-1.956520081E-1;2.700000107E-1;1.395703125E2;1.000000000E1;1.000000000E1
2.132971086E3;5.231868134E1;4.873339590E0;-1.741676331E-1;4.900000095E-1;1.729687500E2;1.000000000E1;1.000000000E1
2.133971078E3;5.231867439E1;4.873345960E0;-3.971900940E-1;3.100000024E-1;1.652343750E2;1.000000000E1;1.000000000E1
2.134971071E3;5.231866139E1;4.873351492E0;-6.485939026E-1;3.100000024E-1;1.947656250E2;1.000000000E1;1.000000000E1
2.135971063E3;5.231866139E1;4.873351492E0;-2.972755432E-1;0.000000000E0;2.650781250E2;1.000000000E1;1.000000000E1
2.136971055E3;5.231865641E1;4.873365657E0;-6.044654846E-1;1.899999976E-1;3.519140625E2;1.000000000E1;1.000000000E1
2.137971048E3;5.231864421E1;4.873377308E0;-5.100440979E-1;4.199999869E-1;1.553906250E2;1.000000000E1;1.000000000E1
2.138971040E3;5.231862938E1;4.873382086E0;-5.584449768E-1;1.700000018E-1;1.406250000E2;1.000000000E1;1.000000000E1
2.139971032E3;5.231862938E1;4.873382086E0;-5.569801331E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.140971025E3;5.231862938E1;4.873382086E0;-4.848365784E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.141971016E3;5.231862938E1;4.873382086E0;-3.798561096E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.142971009E3;5.231862938E1;4.873382086E0;-3.248023987E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.143971002E3;5.231862938E1;4.873382086E0;-2.155494690E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.144970994E3;5.231862938E1;4.873382086E0;-1.177101135E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.145970986E3;5.231862938E1;4.873382086E0;5.862045288E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.146970978E3;5.231862938E1;4.873382086E0;1.352806091E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.147970971E3;5.231862938E1;4.873382086E0;2.115745544E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.148970963E3;5.231862938E1;4.873382086E0;6.332015991E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.149970956E3;5.231862938E1;4.873382086E0;6.704330444E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.150970948E3;5.231862938E1;4.873382086E0;2.090072632E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.151970940E3;5.231862938E1;4.873382086E0;4.879379272E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.152970932E3;5.231862938E1;4.873382086E0;2.517318726E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.153970925E3;5.231862938E1;4.873382086E0;7.778167725E-3;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.154970916E3;5.231862938E1;4.873382086E0;4.806137085E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.155970910E3;5.231862938E1;4.873382086E0;5.947494507E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.156970902E3;5.231862938E1;4.873382086E0;6.881332397E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.157970894E3;5.231862938E1;4.873382086E0;5.300521851E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.158972472E3;5.231862938E1;4.873382086E0;8.529281616E-2;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.159972560E3;5.231862938E1;4.873382086E0;1.039085388E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.160972658E3;5.231862938E1;4.873382086E0;1.661033630E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.161972750E3;5.231862938E1;4.873382086E0;1.800804138E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.162972834E3;5.231862938E1;4.873382086E0;2.333641052E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.163972914E3;5.231862938E1;4.873382086E0;3.390159607E-1;0.000000000E0;1.402734375E2;1.000000000E1;1.000000000E1
2.164972978E3;5.231859970E1;4.873387367E0;3.218650818E-1;1.800000072E-1;2.316796875E2;1.000000000E1;1.000000000E1
2.165973041E3;5.231859970E1;4.873387367E0;2.840843201E-1;0.000000000E0;2.316796875E2;1.000000000E1;1.000000000E1
2.166973063E3;5.231859970E1;4.873387367E0;4.095726013E-1;0.000000000E0;2.316796875E2;1.000000000E1;1.000000000E1
2.167973092E3;5.231859970E1;4.873387367E0;5.256004333E-1;0.000000000E0;2.316796875E2;1.000000000E1;1.000000000E1
2.168973145E3;5.231859970E1;4.873387367E0;5.265159607E-1;0.000000000E0;2.316796875E2;1.000000000E1;1.000000000E1
2.169973193E3;5.231859970E1;4.873387367E0;6.941795349E-1;0.000000000E0;2.355468750E2;1.000000000E1;1.000000000E1
2.170973239E3;5.231859970E1;4.873387367E0;6.237449646E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.171973280E3;5.231859970E1;4.873387367E0;4.615135193E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.172973319E3;5.231859970E1;4.873387367E0;3.756980896E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
